beneficio_ativo,tempo_beneficio_meses,emprego_ativo,tempo_emprego_meses,renda_media_6m,coef_var_renda,pct_meses_saldo_neg_6m,utilizacao_cartao,pct_minimo_pago_3m,num_faturas_vencidas_3m,endividamento_total,parcelas_renda,DPD_max_12m,idade,tempo_rel_banco_meses,default90
0,0,1,35,6103.87,0.518,0.609,0.268,0.265,0,13068.5,0.51,0,24,1,0
0,0,0,0,2254.13,0.408,0.544,0.439,0.315,3,32651.98,0.648,31,55,17,0
0,0,1,18,4006.1,0.412,0.435,0.753,0.387,1,49245.69,0.359,0,78,30,0
0,0,1,11,2055.22,0.315,0.346,0.355,0.183,1,8946.06,0.313,0,22,14,0
0,0,0,0,2529.31,0.524,0.559,0.375,0.258,0,66727.67,0.466,44,76,62,0
1,80,0,0,2513.29,0.169,0.244,0.66,0.255,1,19631.57,0.425,152,74,51,0
0,0,0,0,1288.31,0.791,0.798,0.383,0.345,1,17596.93,0.553,0,36,30,0
1,25,0,0,10797.73,0.128,0.168,0.128,0.099,0,221290.68,0.377,0,60,40,0
0,0,1,23,1317.08,0.431,0.52,0.486,0.27,0,16989.19,0.519,0,29,16,1
1,49,1,36,3758.71,0.136,0.168,0.275,0.085,0,31407.43,0.368,0,69,12,0
0,0,0,0,2368.46,0.439,0.643,0.864,0.556,1,100808.56,0.8,0,65,30,1
1,66,0,0,2724.28,0.165,0.272,0.32,0.103,2,41133.54,0.536,0,42,28,0
0,0,0,0,1461.92,0.459,0.596,0.705,0.437,2,15461.87,0.503,12,22,3,0
1,35,0,0,1722.91,0.059,0.086,0.138,0.064,1,34488.45,0.411,0,84,69,0
0,0,1,3,3037.37,0.413,0.4,0.593,0.259,0,18775.41,0.322,0,48,1,0
1,24,0,0,1555.29,0.264,0.377,0.552,0.409,0,6772.48,0.165,0,78,51,0
1,31,0,0,4095.14,0.441,0.517,0.638,0.431,2,116445.46,0.615,0,64,41,1
1,48,0,0,2631.31,0.162,0.264,0.463,0.216,0,12385.06,0.171,0,70,38,0
1,28,1,12,3068.25,0.224,0.28,0.711,0.404,0,52159.63,0.359,33,69,50,0
0,0,1,3,2725.71,0.448,0.414,0.731,0.413,2,28245.93,0.356,0,31,8,0
0,0,0,0,2336.27,0.693,0.683,0.927,0.65,0,18285.12,0.471,0,42,10,0
0,0,1,24,4853.86,0.076,0.163,0.586,0.182,0,15473.06,0.29,0,49,24,1
0,0,1,4,3122.7,0.15,0.287,0.082,0.139,2,19747.5,0.311,0,51,32,0
0,0,1,47,3076.28,0.44,0.496,0.468,0.198,1,23963.77,0.418,0,20,8,0
0,0,1,45,4320.72,0.58,0.605,0.43,0.33,4,28530.96,0.407,13,55,41,1
0,0,1,28,1407.55,0.345,0.455,0.278,0.098,1,4670.19,0.313,0,28,5,0
0,0,0,0,1397.78,0.478,0.551,0.394,0.334,1,25893.1,0.515,61,68,44,1
0,0,0,0,1685.37,0.348,0.577,0.361,0.313,0,19176.5,0.463,65,64,12,0
0,0,1,37,1831.62,0.224,0.18,0.506,0.282,3,19617.36,0.306,0,80,48,0
1,95,0,0,3334.41,0.063,0.287,0.141,0.089,1,12001.34,0.284,88,68,19,0
0,0,0,0,1837.71,0.437,0.5,0.629,0.268,1,14910.27,0.516,76,42,1,0
1,105,0,0,1366.97,0.112,0.192,0.122,0.008,0,7437.9,0.388,0,83,59,0
0,0,0,0,998.97,0.532,0.618,0.317,0.261,0,7485.63,0.426,0,45,16,0
0,0,0,0,1805.5,0.74,0.679,0.154,0.271,0,15545.71,0.327,0,40,4,0
1,61,0,0,3224.26,0.043,0.14,0.616,0.194,0,8953.06,0.275,0,79,32,0
0,0,1,8,2684.66,0.411,0.46,0.493,0.314,2,26272.79,0.477,0,43,16,0
0,0,0,0,6312.57,0.267,0.384,0.174,0.0,0,103594.29,0.439,19,23,16,0
0,0,1,14,2344.24,0.062,0.191,0.221,0.088,0,26159.22,0.274,0,49,36,0
0,0,0,0,1368.55,0.339,0.43,0.233,0.258,1,7938.77,0.396,0,72,36,0
0,0,0,0,3395.53,0.905,0.919,0.72,0.601,3,48847.2,0.542,0,30,30,0
0,0,1,25,3256.43,0.448,0.566,0.488,0.327,1,25666.37,0.344,0,49,42,0
0,0,1,33,5294.04,0.653,0.683,0.283,0.258,1,57240.89,0.516,0,26,14,0
0,0,1,28,5526.95,0.366,0.502,0.131,0.162,0,48273.26,0.296,14,64,42,0
0,0,0,0,1529.92,0.411,0.374,0.589,0.374,3,8754.34,0.264,14,50,25,0
0,0,1,22,1935.4,0.539,0.517,0.17,0.172,3,25830.48,0.382,55,40,25,0
0,0,1,21,3647.8,0.338,0.449,0.596,0.443,1,47433.76,0.428,0,33,18,0
0,0,1,31,1885.83,0.141,0.173,0.422,0.171,2,31603.55,0.441,0,56,41,0
0,0,0,0,1444.09,0.706,0.689,0.426,0.298,2,6050.34,0.482,42,63,38,0
1,50,1,14,1316.42,0.234,0.183,0.401,0.197,0,8371.9,0.286,0,81,33,0
0,0,1,39,2590.59,0.219,0.219,0.843,0.488,0,21410.49,0.273,0,47,10,0
0,0,0,0,3678.38,0.316,0.343,0.199,0.105,1,46842.4,0.268,0,28,6,0
1,27,0,0,2384.4,0.556,0.538,0.823,0.498,3,9382.93,0.175,0,74,49,1
1,44,1,16,1507.92,0.489,0.576,0.847,0.46,2,16902.64,0.336,28,60,38,0
0,0,1,12,6929.04,0.244,0.388,0.245,0.162,1,119011.68,0.454,0,65,61,0
0,0,1,30,2038.59,0.255,0.261,0.618,0.314,1,49825.99,0.43,0,24,21,0
0,0,0,0,1851.51,0.612,0.81,0.685,0.457,1,6162.2,0.441,29,39,18,0
1,111,0,0,2756.02,0.188,0.205,0.594,0.375,0,33554.19,0.655,0,70,28,1
0,0,1,9,3893.24,0.293,0.235,0.308,0.26,0,103987.48,0.679,0,74,51,0
0,0,0,0,2270.8,0.844,1.0,0.464,0.391,1,4722.75,0.337,36,47,6,0
1,69,0,0,2194.24,0.277,0.389,0.183,0.157,0,4655.62,0.146,0,72,32,0
0,0,1,25,2764.45,0.501,0.478,0.718,0.354,1,26798.77,0.474,32,75,40,0
0,0,1,18,1836.12,0.14,0.295,0.309,0.218,2,7135.67,0.199,18,44,32,0
0,0,1,9,1558.5,0.232,0.4,0.46,0.329,1,45669.38,0.486,51,79,31,0
0,0,1,14,2217.18,0.592,0.669,0.388,0.389,3,37650.17,0.724,0,37,11,0
0,0,1,48,5850.94,0.345,0.46,0.253,0.246,0,300000.0,0.849,18,34,7,1
1,62,0,0,1408.34,0.208,0.345,0.587,0.356,0,18101.13,0.379,0,64,40,0
0,0,0,0,958.72,0.658,0.592,0.644,0.381,0,2342.77,0.331,0,61,52,0
0,0,1,12,2796.76,0.593,0.584,0.532,0.432,2,11071.13,0.347,56,27,8,1
0,0,1,30,4543.25,0.422,0.411,0.048,0.007,0,24046.12,0.375,0,74,57,0
0,0,1,40,2012.02,0.461,0.388,0.393,0.197,0,6171.85,0.469,0,31,5,0
0,0,1,27,1741.66,0.256,0.339,0.217,0.244,2,20057.8,0.317,6,72,32,0
0,0,1,19,3059.89,0.239,0.216,0.952,0.447,3,3517.49,0.079,0,18,8,0
1,51,0,0,2542.55,0.268,0.433,0.143,0.118,0,58149.98,0.574,8,72,45,1
0,0,0,0,3747.82,0.429,0.481,0.122,0.205,1,31583.41,0.448,0,71,46,0
0,0,1,52,4956.62,0.353,0.305,0.074,0.116,0,86246.71,0.696,0,71,41,0
1,24,0,0,1203.7,0.104,0.132,0.657,0.35,2,13250.93,0.395,4,63,33,1
0,0,1,19,1562.86,0.536,0.651,0.603,0.346,0,4822.32,0.453,0,50,24,0
0,0,0,0,800.0,0.523,0.608,0.499,0.356,0,17126.62,0.506,0,65,34,1
0,0,0,0,1984.53,0.162,0.201,0.286,0.068,0,17460.38,0.274,0,36,12,0
1,39,1,52,2495.39,0.028,0.233,0.503,0.251,0,38517.48,0.461,0,71,35,0
0,0,0,0,4684.53,0.572,0.451,0.478,0.322,2,32900.66,0.302,0,55,45,0
1,82,0,0,1843.5,0.216,0.394,0.186,0.179,0,23218.08,0.326,34,49,22,0
0,0,1,37,2370.27,0.513,0.497,0.422,0.37,1,28375.68,0.585,0,52,18,0
0,0,1,19,1831.39,0.53,0.702,0.188,0.0,1,5826.69,0.508,41,56,52,0
0,0,1,25,2901.22,0.277,0.397,0.297,0.216,1,37116.78,0.412,0,20,2,0
0,0,1,66,5313.06,0.391,0.509,0.684,0.29,4,178638.71,0.596,0,27,21,0
0,0,1,30,1010.7,0.043,0.187,0.34,0.225,1,15170.39,0.293,45,34,6,0
0,0,1,13,4388.18,0.353,0.443,0.642,0.34,1,64098.4,0.41,0,25,1,0
0,0,0,0,800.0,0.516,0.543,0.156,0.112,0,3579.55,0.419,0,47,10,0
1,66,0,0,2035.02,0.334,0.395,0.303,0.115,0,20362.33,0.23,0,63,29,0
0,0,1,10,1524.55,0.731,0.814,0.203,0.208,3,25463.09,0.674,0,62,37,0
0,0,1,83,1693.14,0.552,0.552,0.346,0.186,1,10077.84,0.296,34,50,31,0
1,17,0,0,1134.33,0.14,0.18,0.581,0.284,1,9393.71,0.225,0,76,39,0
0,0,1,6,3095.61,0.504,0.545,0.613,0.423,1,23572.24,0.383,0,56,22,0
0,0,1,10,2068.0,0.615,0.658,0.818,0.626,5,83887.98,0.784,0,23,1,1
1,23,0,0,2852.25,0.053,0.112,0.726,0.094,0,12584.04,0.103,0,70,62,0
0,0,0,0,2479.26,0.472,0.637,0.19,0.042,1,73640.12,0.668,0,57,27,1
1,65,0,0,2051.87,0.033,0.197,0.509,0.178,1,19285.34,0.276,0,61,35,0
0,0,1,38,3804.35,0.283,0.416,0.451,0.264,1,11645.79,0.286,0,56,17,0
0,0,1,46,2877.02,0.195,0.104,0.341,0.225,1,23528.0,0.171,0,55,35,0
0,0,1,18,2036.88,0.4,0.44,0.78,0.558,0,29009.34,0.474,0,24,1,0
0,0,1,54,4311.45,0.338,0.287,0.571,0.183,1,114457.88,0.556,39,56,23,1
1,32,1,37,7315.1,0.241,0.213,0.715,0.26,1,34515.8,0.274,32,72,49,0
0,0,1,17,4689.89,0.077,0.153,0.13,0.094,0,129177.33,0.429,0,38,4,0
1,32,0,0,1035.64,0.237,0.317,0.236,0.123,0,13683.07,0.427,20,58,35,0
0,0,0,0,1863.29,0.41,0.62,0.461,0.347,1,36217.07,0.614,0,20,6,1
0,0,1,30,5195.48,0.477,0.556,0.374,0.168,0,31676.72,0.409,0,41,19,0
0,0,1,21,1423.38,0.392,0.569,0.569,0.332,0,20910.18,0.573,0,47,19,0
1,66,0,0,2240.0,0.026,0.0,0.09,0.144,2,106542.39,0.608,0,84,76,0
0,0,1,48,1938.23,0.398,0.533,0.235,0.232,0,23842.53,0.517,0,32,10,0
0,0,0,0,2056.82,0.423,0.675,0.185,0.286,3,16699.66,0.42,0,36,19,0
0,0,1,11,10426.2,0.32,0.491,0.645,0.247,0,119943.88,0.522,0,45,18,0
0,0,1,86,2767.38,0.331,0.326,0.291,0.115,2,39827.07,0.349,0,85,67,0
0,0,1,18,2367.04,0.498,0.695,0.213,0.113,1,33816.8,0.378,0,76,20,1
0,0,0,0,5259.75,0.494,0.52,0.662,0.302,1,23812.57,0.288,0,20,8,0
0,0,0,0,1988.14,0.643,0.574,0.247,0.182,1,19995.44,0.481,0,33,27,0
0,0,0,0,1337.51,0.165,0.191,0.832,0.411,3,10228.45,0.313,26,73,21,0
0,0,0,0,818.47,0.539,0.506,0.31,0.137,1,11493.83,0.464,0,21,1,1
0,0,0,0,3043.8,0.51,0.497,0.707,0.359,1,16739.81,0.382,14,76,42,0
0,0,1,23,1450.07,0.239,0.2,0.794,0.323,0,3737.79,0.281,26,37,18,0
1,43,0,0,2131.14,0.181,0.182,0.237,0.257,2,46513.63,0.475,0,80,35,0
0,0,1,13,3152.78,0.541,0.612,0.81,0.524,1,34637.1,0.574,0,37,12,0
0,0,1,29,3768.19,0.178,0.275,0.309,0.276,1,38803.17,0.297,60,47,1,0
1,20,0,0,1002.94,0.206,0.277,0.269,0.231,1,18134.14,0.45,0,63,42,0
0,0,0,0,1076.0,0.621,0.772,0.724,0.511,1,17852.83,0.581,66,26,3,0
0,0,0,0,2008.14,0.472,0.587,0.322,0.317,3,28311.89,0.672,56,55,46,1
0,0,0,0,844.03,0.661,0.89,0.625,0.544,4,7638.94,0.374,0,52,22,0
0,0,1,9,3555.91,0.397,0.385,0.818,0.399,3,38000.02,0.433,0,71,58,1
0,0,1,13,1352.17,0.198,0.226,0.311,0.068,0,7059.62,0.308,0,85,60,0
0,0,0,0,1568.18,0.803,0.875,0.628,0.569,3,10276.17,0.461,22,63,15,1
0,0,0,0,1414.39,0.481,0.533,0.351,0.298,2,18101.36,0.528,13,45,32,0
0,0,0,0,2639.09,0.788,0.772,0.264,0.2,0,12812.54,0.326,21,45,26,0
1,69,0,0,1820.36,0.242,0.236,0.236,0.023,0,53113.81,0.508,0,46,20,0
0,0,1,26,3899.54,0.237,0.37,0.55,0.213,2,100345.29,0.744,32,73,33,0
0,0,0,0,3133.52,0.276,0.249,0.743,0.334,0,17140.68,0.346,0,39,26,0
0,0,0,0,1768.98,0.377,0.455,0.511,0.252,3,11367.91,0.415,9,29,1,0
0,0,0,0,2027.86,0.69,0.671,0.608,0.381,2,16076.43,0.408,0,40,24,0
0,0,0,0,1291.0,0.727,0.879,0.813,0.648,4,25071.61,0.777,40,19,15,1
1,61,0,0,1374.75,0.249,0.294,0.84,0.313,1,7315.46,0.24,46,25,5,0
0,0,0,0,972.53,0.251,0.322,0.855,0.377,1,11416.15,0.32,0,24,1,0
1,59,1,101,3775.3,0.023,0.0,0.62,0.121,0,49686.72,0.196,0,70,38,0
1,66,1,36,2730.81,0.101,0.3,0.571,0.269,0,41340.05,0.383,0,67,40,0
1,39,0,0,2866.32,0.279,0.219,0.346,0.234,0,44179.94,0.355,0,65,42,0
1,38,0,0,2031.56,0.079,0.201,0.243,0.007,0,17135.8,0.255,0,49,15,0
0,0,1,16,2011.76,0.382,0.374,0.509,0.29,1,7888.36,0.271,0,66,48,0
0,0,1,16,2331.98,0.344,0.305,0.47,0.228,1,13083.2,0.249,0,28,1,0
1,37,0,0,842.34,0.226,0.236,0.436,0.225,0,4735.75,0.289,70,79,55,0
0,0,0,0,2802.74,0.694,0.631,0.166,0.159,1,45425.14,0.547,0,52,47,0
1,50,0,0,1968.81,0.214,0.357,0.532,0.19,2,20477.14,0.387,0,81,49,1
0,0,1,22,2119.88,0.423,0.439,0.587,0.261,1,33372.42,0.359,0,28,1,0
0,0,1,16,5497.59,0.599,0.731,0.521,0.423,0,176062.43,0.656,47,51,15,0
0,0,0,0,1547.94,0.399,0.412,0.461,0.392,0,30406.43,0.73,0,65,28,0
0,0,0,0,2391.83,0.755,0.703,0.499,0.386,1,10271.82,0.343,18,51,21,0
0,0,1,6,995.16,0.508,0.616,0.491,0.228,1,2182.17,0.423,0,48,19,0
0,0,1,37,2044.19,0.305,0.443,0.583,0.455,5,9596.92,0.214,52,29,2,1
0,0,1,53,4820.88,0.151,0.297,0.326,0.261,1,59247.16,0.498,0,43,21,0
0,0,1,42,4214.05,0.534,0.55,0.697,0.458,3,77949.72,0.473,24,34,24,0
0,0,0,0,2492.95,0.351,0.476,0.175,0.188,0,46633.0,0.47,116,38,10,0
0,0,0,0,1223.48,0.4,0.344,0.167,0.187,1,24255.24,0.415,60,64,56,0
1,42,0,0,2614.65,0.036,0.138,0.234,0.158,0,20132.33,0.29,0,60,35,0
0,0,1,14,2124.69,0.094,0.334,0.507,0.402,1,36175.67,0.509,0,59,37,0
0,0,1,29,3276.84,0.431,0.455,0.487,0.353,0,35112.17,0.481,0,42,12,0
1,25,0,0,3580.73,0.186,0.288,0.649,0.416,2,20218.61,0.266,66,83,64,1
0,0,1,36,3050.2,0.38,0.514,0.598,0.376,2,49293.52,0.692,67,23,18,1
0,0,1,5,4242.98,0.676,0.581,0.748,0.392,2,88652.85,0.714,0,41,26,0
0,0,1,23,4369.0,0.407,0.361,0.609,0.271,1,67672.79,0.392,25,26,8,0
0,0,0,0,1023.09,0.679,0.736,0.527,0.317,1,7229.19,0.435,0,41,7,1
0,0,0,0,800.0,0.158,0.256,0.019,0.091,0,8451.69,0.348,0,83,53,0
0,0,0,0,2962.05,0.547,0.562,0.608,0.298,1,31589.89,0.362,41,42,1,0
1,66,0,0,2436.73,0.347,0.368,0.136,0.092,0,38542.24,0.254,0,79,42,0
0,0,1,36,5469.62,0.388,0.423,0.348,0.251,0,25250.55,0.357,59,51,27,0
1,42,0,0,2768.5,0.124,0.2,0.216,0.109,0,48189.11,0.47,0,65,25,0
0,0,1,66,5970.89,0.36,0.444,0.378,0.403,1,31498.24,0.288,121,49,19,0
0,0,1,66,4013.81,0.061,0.319,0.136,0.099,1,101330.25,0.519,0,36,26,0
1,31,0,0,2830.96,0.21,0.251,0.478,0.289,1,11490.48,0.177,13,69,36,0
1,33,1,22,2746.89,0.208,0.232,0.16,0.0,0,30518.07,0.452,48,83,46,0
0,0,1,18,1994.85,0.356,0.268,0.189,0.149,0,57503.92,0.482,0,35,8,1
0,0,1,41,1182.17,0.494,0.533,0.176,0.287,0,3783.24,0.416,0,70,32,1
0,0,1,21,3468.47,0.459,0.508,0.532,0.344,1,73884.01,0.564,0,35,7,1
0,0,0,0,1214.18,0.474,0.573,0.277,0.303,1,5624.1,0.378,21,66,2,0
1,100,0,0,2055.29,0.283,0.346,0.358,0.153,2,19320.11,0.433,0,71,11,0
0,0,1,28,2724.17,0.42,0.461,0.484,0.343,1,61569.66,0.417,43,48,29,0
1,56,1,22,2549.53,0.188,0.314,0.047,0.058,0,31773.31,0.46,0,68,53,0
0,0,0,0,1970.07,0.683,0.655,0.095,0.117,3,19588.54,0.599,0,36,8,1
0,0,1,69,857.46,0.135,0.211,0.471,0.298,1,6145.88,0.319,0,23,1,1
0,0,1,47,2809.2,0.446,0.632,0.543,0.355,2,14108.84,0.416,0,24,7,0
0,0,1,19,3520.65,0.497,0.572,0.194,0.262,0,38931.26,0.466,0,48,1,1
1,34,0,0,996.99,0.267,0.37,0.334,0.117,0,30114.43,0.707,0,79,66,0
0,0,1,14,1825.27,0.208,0.217,0.701,0.301,0,19706.73,0.275,80,26,14,1
0,0,0,0,3537.06,0.603,0.554,0.243,0.117,1,33257.44,0.452,0,48,22,0
0,0,1,29,2648.73,0.269,0.249,0.531,0.071,2,23559.25,0.23,13,65,51,0
0,0,0,0,1275.79,0.541,0.668,0.393,0.235,3,27922.23,0.487,0,31,12,1
1,17,0,0,3186.85,0.294,0.197,0.901,0.245,0,14076.15,0.229,0,67,21,0
0,0,0,0,1039.47,0.322,0.296,0.279,0.197,0,7523.6,0.344,51,38,20,0
1,62,0,0,1407.7,0.222,0.359,0.513,0.238,0,20614.98,0.295,0,72,41,0
0,0,1,22,1611.01,0.202,0.179,0.169,0.046,0,11851.46,0.326,0,57,24,0
0,0,1,18,5032.41,0.26,0.429,0.813,0.533,3,68877.14,0.753,33,55,26,1
0,0,0,0,1088.19,0.529,0.49,0.51,0.338,0,2981.18,0.455,0,30,4,0
1,30,0,0,2256.19,0.285,0.356,0.325,0.342,0,29867.4,0.539,0,49,20,0
1,62,0,0,4109.4,0.131,0.243,0.405,0.181,5,40333.5,0.299,0,76,36,0
0,0,0,0,1098.04,0.101,0.062,0.606,0.189,0,5961.71,0.243,0,19,1,0
1,52,0,0,985.02,0.185,0.422,0.342,0.192,1,5370.98,0.189,0,69,5,0
0,0,0,0,5107.78,0.833,1.0,0.476,0.446,2,186520.06,0.798,75,51,24,1
1,44,0,0,2498.32,0.123,0.09,0.633,0.384,1,37299.93,0.498,27,66,23,0
1,27,0,0,1704.44,0.197,0.309,0.128,0.214,0,41100.44,0.434,0,63,25,0
0,0,0,0,1669.09,0.667,0.736,0.465,0.385,0,14672.84,0.514,0,47,15,0
0,0,1,9,3701.51,0.689,0.741,0.385,0.37,0,30533.75,0.461,51,38,5,0
0,0,1,36,1289.26,0.276,0.175,0.092,0.0,0,14063.6,0.37,0,60,29,0
0,0,1,10,2030.55,0.243,0.452,0.203,0.098,1,53778.18,0.392,0,27,17,1
0,0,1,24,3801.45,0.453,0.498,0.466,0.292,3,35977.8,0.502,83,57,28,1
0,0,1,52,5727.41,0.226,0.279,0.681,0.313,1,71264.12,0.436,16,24,3,0
0,0,1,3,5261.48,0.217,0.212,0.038,0.16,1,58355.12,0.309,0,62,17,0
1,11,0,0,2328.42,0.227,0.269,0.871,0.451,1,24487.75,0.353,0,60,21,0
0,0,0,0,3794.14,0.771,0.791,0.297,0.249,1,46827.28,0.45,0,23,1,0
0,0,0,0,800.0,0.252,0.357,0.321,0.193,1,21932.13,0.455,0,69,52,1
1,21,0,0,2370.99,0.271,0.402,0.504,0.284,2,14360.97,0.319,0,46,13,0
0,0,0,0,800.0,0.684,0.609,0.657,0.536,0,10938.44,0.382,0,71,43,0
0,0,1,40,5597.0,0.213,0.244,0.222,0.083,0,22190.15,0.259,0,20,1,0
0,0,1,7,3183.07,0.144,0.325,0.477,0.236,1,69166.58,0.617,0,30,4,0
0,0,1,32,6623.69,0.336,0.311,0.613,0.432,0,98122.23,0.308,0,51,10,0
0,0,1,11,1905.58,0.318,0.485,0.554,0.261,3,14424.44,0.278,25,30,1,0
0,0,1,12,1323.69,0.202,0.233,0.791,0.404,0,48007.03,0.497,24,40,9,1
0,0,0,0,2666.44,0.543,0.496,0.341,0.281,0,17001.75,0.341,0,62,40,0
1,57,0,0,2163.9,0.279,0.305,0.892,0.456,1,16571.15,0.257,0,27,1,0
0,0,1,33,4740.57,0.167,0.246,0.648,0.284,1,86236.15,0.439,80,64,40,0
0,0,1,26,4068.75,0.65,0.704,0.668,0.582,2,10250.78,0.253,24,25,2,0
0,0,1,15,2209.64,0.52,0.488,0.875,0.461,2,6173.08,0.253,0,29,18,0
0,0,0,0,1780.24,0.453,0.577,0.1,0.267,0,12398.6,0.338,40,57,46,0
0,0,0,0,1612.0,0.564,0.736,0.435,0.257,1,20496.87,0.452,0,71,35,0
0,0,0,0,1831.64,0.601,0.765,0.414,0.407,2,15136.22,0.512,40,29,3,0
0,0,1,27,2171.46,0.398,0.36,0.214,0.168,1,8949.11,0.242,0,38,23,1
0,0,0,0,2425.04,0.593,0.765,0.77,0.361,2,18877.65,0.317,0,80,68,0
1,63,0,0,1016.08,0.159,0.206,0.12,0.202,1,6580.26,0.287,0,85,67,0
0,0,0,0,800.0,0.742,0.68,0.317,0.228,1,15541.59,0.365,0,57,41,0
0,0,1,16,2064.76,0.362,0.511,0.285,0.137,1,18499.05,0.519,24,48,27,0
0,0,1,9,1892.89,0.166,0.188,0.513,0.224,0,12782.6,0.43,0,41,33,0
0,0,1,3,1989.67,0.359,0.464,0.229,0.192,1,5676.31,0.343,28,59,53,0
0,0,0,0,3276.91,0.331,0.374,0.364,0.184,0,38404.06,0.517,0,58,36,0
0,0,1,13,2727.44,0.119,0.275,0.25,0.144,1,4992.33,0.139,0,38,23,0
0,0,0,0,2620.97,0.266,0.29,1.0,0.39,2,16764.87,0.405,0,19,1,0
0,0,1,12,3288.96,0.045,0.047,0.595,0.172,0,44821.22,0.425,0,28,1,0
1,6,0,0,4552.94,0.421,0.433,0.617,0.394,2,91976.7,0.465,0,83,56,0
0,0,1,25,2041.04,0.34,0.485,0.609,0.472,0,33871.55,0.492,15,46,1,0
0,0,1,39,3658.24,0.17,0.205,0.494,0.216,0,43044.32,0.301,0,50,31,0
0,0,1,56,2502.13,0.489,0.607,0.602,0.309,2,26923.2,0.419,91,49,28,0
0,0,0,0,1059.85,0.362,0.434,0.102,0.041,0,8433.48,0.498,0,71,36,0
0,0,1,13,1427.95,0.243,0.375,0.457,0.311,3,35683.7,0.603,0,22,1,1
0,0,1,5,2304.58,0.284,0.285,0.214,0.23,0,10881.86,0.302,36,23,1,0
0,0,1,91,4607.12,0.186,0.17,0.299,0.065,1,22094.57,0.214,15,36,1,0
0,0,1,42,2097.9,0.346,0.372,0.391,0.32,2,12022.76,0.303,0,51,13,0
1,33,1,28,2823.84,0.154,0.253,0.189,0.092,1,11374.71,0.537,39,63,18,0
0,0,1,7,1836.2,0.458,0.41,0.694,0.39,0,32129.49,0.36,0,51,20,0
0,0,0,0,1014.78,0.481,0.474,0.538,0.409,1,32533.07,0.576,0,47,34,1
