beneficio_ativo,tempo_beneficio_meses,emprego_ativo,tempo_emprego_meses,renda_media_6m,coef_var_renda,pct_meses_saldo_neg_6m,utilizacao_cartao,pct_minimo_pago_3m,num_faturas_vencidas_3m,endividamento_total,parcelas_renda,DPD_max_12m,idade,tempo_rel_banco_meses,default90,segmento,pd_true
1,79,0,0,2164.13,0.0943,0.0,0.2338,0.0,0,7475.7,0.4584,4,78,472.0,0,INSS,0.0241
0,0,1,48,6406.84,0.0,0.2459,0.5337,0.1804,1,12603.56,0.0593,36,47,239.0,1,CLT,0.1819
0,0,0,0,3476.21,0.2878,0.2656,0.6228,0.3889,0,1368.56,0.0168,46,26,67.0,1,Informal,0.45
0,0,1,95,3652.83,0.0253,0.3257,0.553,0.367,0,564.57,0.006,45,59,232.0,0,CLT,0.2056
0,0,1,207,4539.53,0.0465,0.0109,0.1692,0.0282,0,12706.03,0.1295,4,62,202.0,0,Servidor,0.0139
0,0,1,65,5382.82,0.3279,0.1757,0.5143,0.1445,0,9040.27,0.0548,26,44,212.0,1,CLT,0.174
1,230,0,0,3116.5,0.089,0.1108,0.2702,0.1076,0,1803.9,0.0884,10,70,288.0,0,INSS,0.0224
1,242,0,0,1472.26,0.0,0.0,0.1887,0.168,0,6553.85,0.12,3,80,480.0,0,INSS,0.013
1,222,0,0,3055.59,0.1436,0.0511,0.2762,0.0661,0,6317.61,0.2846,7,69,346.0,0,INSS,0.0241
0,0,1,151,9917.71,0.098,0.0969,0.1157,0.0569,1,520.15,0.0013,3,60,199.0,0,Servidor,0.0126
0,0,1,42,4150.55,0.2408,0.3124,0.2687,0.3308,0,5209.5,0.0478,49,28,69.0,1,CLT,0.3175
1,150,0,0,2760.35,0.1274,0.0,0.2637,0.0418,0,4718.1,0.0403,0,69,480.0,0,INSS,0.0146
0,0,0,0,4269.26,0.2558,0.1864,0.4675,0.0585,1,8587.85,0.1276,30,46,74.0,0,CLT,0.3404
1,199,0,0,3408.55,0.0499,0.1012,0.3225,0.2628,0,67.34,0.0006,25,72,274.0,0,INSS,0.0301
1,245,0,0,2443.09,0.0494,0.0,0.1616,0.0686,0,3785.16,0.0418,0,74,316.0,0,INSS,0.012
1,76,0,0,1403.25,0.0895,0.0099,0.0532,0.0622,0,846.55,0.059,0,58,172.0,0,INSS,0.0218
0,0,1,65,5947.17,0.0869,0.122,0.5064,0.2948,0,20602.77,0.1592,33,57,226.0,0,CLT,0.1625
0,0,0,0,4976.49,0.4502,0.4276,0.8092,0.4703,0,1747.67,0.0151,68,59,256.0,0,Informal,0.45
0,0,1,34,4569.3,0.037,0.2107,0.3345,0.3001,2,8852.72,0.0983,40,31,43.0,0,CLT,0.3089
0,0,0,0,1315.2,0.4271,0.7103,1.1105,0.7403,2,1164.27,0.0321,120,27,33.0,1,Informal,0.45
0,0,1,57,2833.17,0.1254,0.3058,0.4181,0.2278,1,3769.57,0.0368,47,29,40.0,1,CLT,0.3435
0,0,0,0,3177.63,0.3575,0.349,0.7669,0.374,0,14716.31,0.1414,59,29,36.0,0,Informal,0.45
0,0,0,0,965.08,0.2898,0.3012,0.5666,0.4205,0,534.96,0.0373,49,32,119.0,0,Informal,0.45
0,0,1,36,2315.22,0.2013,0.0247,0.3771,0.1325,0,6264.53,0.0858,5,36,192.0,0,CLT,0.102
0,0,0,0,3046.73,0.2745,0.3655,0.752,0.4681,0,6715.39,0.044,58,28,57.0,0,Informal,0.45
0,0,1,1,4234.09,0.2219,0.0,0.3245,0.1549,0,6882.25,0.1369,8,48,283.0,0,CLT,0.0877
1,124,0,0,3004.35,0.157,0.0,0.2925,0.1116,0,8813.28,0.1588,2,60,244.0,0,INSS,0.0289
0,0,1,29,2536.95,0.2485,0.2496,0.3941,0.3876,1,5991.78,0.0495,53,26,24.0,1,CLT,0.45
0,0,1,88,4822.91,0.2347,0.0,0.4422,0.08,0,13474.65,0.1815,6,39,88.0,0,CLT,0.1017
0,0,1,127,4012.41,0.0711,0.0591,0.1334,0.0148,0,9977.56,0.206,0,30,33.0,0,Servidor,0.0258
0,0,0,0,3709.67,0.3149,0.0082,0.3679,0.0729,0,8557.98,0.0981,0,54,378.0,0,Informal,0.1825
1,51,0,0,2972.12,0.0679,0.0029,0.212,0.0,0,3219.67,0.0387,8,75,238.0,0,INSS,0.0207
0,0,1,170,5845.55,0.1297,0.1433,0.4369,0.2221,0,13619.86,0.1142,18,38,75.0,0,Servidor,0.0502
1,217,0,0,3034.27,0.1724,0.0837,0.2129,0.0554,0,9503.33,0.1126,14,72,480.0,1,INSS,0.0214
0,0,1,61,5357.72,0.0289,0.0466,0.2687,0.1139,0,14627.39,0.2844,5,60,425.0,0,Servidor,0.0218
1,188,0,0,3066.71,0.1009,0.0247,0.3124,0.0,0,6301.36,0.0654,4,72,187.0,0,INSS,0.0206
0,0,1,37,6269.28,0.1521,0.2562,0.5446,0.3139,0,9529.94,0.039,35,42,236.0,1,CLT,0.2062
1,383,0,0,2837.76,0.0705,0.0574,0.5288,0.116,0,0.0,0.0,13,60,413.0,0,INSS,0.016
1,152,0,0,3061.94,0.1186,0.0,0.2074,0.0794,1,4996.77,0.0954,0,59,214.0,0,INSS,0.0264
0,0,1,74,5084.53,0.3158,0.1032,0.6483,0.3419,0,7081.43,0.0655,23,26,72.0,0,CLT,0.2301
1,192,0,0,3607.52,0.0342,0.1539,0.4359,0.1655,1,568.51,0.0069,25,69,480.0,0,INSS,0.0335
0,0,1,149,9007.57,0.1064,0.1033,0.3132,0.0399,0,8710.24,0.058,24,36,148.0,0,Servidor,0.0243
0,0,1,37,4224.75,0.2282,0.0,0.3934,0.0606,0,5819.79,0.11,6,43,143.0,0,CLT,0.0877
1,41,0,0,3091.51,0.1555,0.0232,0.2838,0.1093,0,379.12,0.0055,4,78,172.0,0,INSS,0.0282
1,220,0,0,3009.69,0.1155,0.0307,0.3021,0.0686,1,6513.84,0.1098,3,81,377.0,0,INSS,0.0218
0,0,1,99,3759.38,0.1326,0.1862,0.3937,0.1755,1,5734.03,0.052,28,35,136.0,1,CLT,0.1782
0,0,1,22,4078.78,0.0393,0.28,0.531,0.3262,0,0.0,0.0,46,56,292.0,0,CLT,0.1976
1,175,0,0,2871.38,0.0382,0.0737,0.3203,0.1067,0,3695.11,0.067,5,74,168.0,0,INSS,0.0242
1,190,0,0,2799.79,0.0238,0.0099,0.2732,0.1017,1,5342.89,0.094,11,79,480.0,0,INSS,0.0192
1,195,0,0,3400.63,0.076,0.0,0.1327,0.0078,0,6861.88,0.0925,0,63,242.0,0,INSS,0.0146
1,226,0,0,2974.39,0.0393,0.1007,0.2127,0.1247,2,599.38,0.007,12,77,455.0,0,INSS,0.0245
0,0,1,67,1955.65,0.1825,0.03,0.3743,0.0,0,390.35,0.0063,0,28,95.0,0,CLT,0.0774
1,188,0,0,2538.12,0.0815,0.0,0.3542,0.0317,0,6275.59,0.1078,0,63,132.0,0,INSS,0.0231
0,0,1,25,1639.89,0.3342,0.3583,0.7993,0.448,0,2567.07,0.1688,54,23,39.0,1,CLT,0.45
1,191,0,0,2831.89,0.0665,0.0467,0.2115,0.0236,0,0.0,0.0,7,80,276.0,0,INSS,0.0152
0,0,1,1,3733.05,0.318,0.0851,0.4158,0.1882,0,0.0,0.0,16,35,146.0,0,CLT,0.1497
1,186,0,0,2231.51,0.07,0.0724,0.2216,0.0228,0,2875.54,0.0514,5,63,399.0,0,INSS,0.0168
0,0,0,0,922.31,0.4975,0.4306,0.8352,0.5454,1,784.01,0.0361,56,53,120.0,0,Informal,0.45
1,182,0,0,2077.9,0.198,0.0,0.059,0.0136,0,7258.25,0.1989,0,71,399.0,0,INSS,0.0168
0,0,1,19,3200.09,0.0994,0.1262,0.271,0.1911,0,2395.88,0.0521,18,35,129.0,0,CLT,0.1188
0,0,1,48,2958.7,0.2059,0.0813,0.3738,0.2379,0,4098.99,0.0287,17,32,53.0,0,CLT,0.1494
1,218,0,0,3673.94,0.0609,0.1069,0.4175,0.1995,0,3968.4,0.0343,12,80,471.0,0,INSS,0.0207
0,0,1,71,5297.31,0.1296,0.2083,0.3093,0.1951,0,1846.34,0.0362,38,46,155.0,0,CLT,0.1373
1,204,0,0,1200.0,0.0908,0.0573,0.2304,0.0,0,2639.95,0.396,11,82,480.0,0,INSS,0.0216
1,170,0,0,1669.1,0.1046,0.0781,0.3165,0.2438,0,3339.18,0.3259,15,78,391.0,0,INSS,0.0378
0,0,1,39,5506.99,0.1261,0.0,0.2205,0.0047,0,10036.39,0.0576,0,50,260.0,0,CLT,0.0439
0,0,1,40,4089.34,0.2859,0.0898,0.4512,0.1427,0,7307.04,0.0558,25,22,12.0,0,CLT,0.1958
0,0,1,81,2369.48,0.2415,0.0963,0.5732,0.3097,1,7192.11,0.1173,18,58,281.0,0,CLT,0.1972
1,83,0,0,1200.0,0.1573,0.0974,0.5012,0.1498,0,503.93,0.0299,11,69,401.0,0,INSS,0.0402
1,169,0,0,1685.36,0.1777,0.0636,0.4844,0.0608,0,3016.23,0.0666,3,82,341.0,0,INSS,0.0275
0,0,1,63,1500.0,0.2066,0.2217,0.4829,0.4615,0,1018.02,0.0505,48,34,136.0,0,CLT,0.3355
1,291,0,0,1805.32,0.0043,0.0,0.3503,0.1055,0,8298.96,0.1524,3,69,147.0,0,INSS,0.0205
0,0,0,0,2579.64,0.4666,0.1891,0.7175,0.3452,0,2073.42,0.0214,32,39,177.0,1,Informal,0.45
0,0,1,30,4638.08,0.0498,0.1668,0.1466,0.1545,0,12050.48,0.1862,26,51,207.0,0,CLT,0.112
0,0,1,7,6078.83,0.028,0.1113,0.3265,0.0971,0,2328.14,0.0211,17,33,101.0,0,CLT,0.083
0,0,1,129,7008.93,0.0806,0.0088,0.2847,0.0859,0,24360.7,0.168,6,57,263.0,0,Servidor,0.0207
1,228,0,0,2027.81,0.1855,0.0815,0.214,0.1685,0,6034.37,0.0888,13,62,200.0,0,INSS,0.0344
1,252,0,0,2052.68,0.1307,0.0098,0.1468,0.0074,0,4733.29,0.0866,8,79,480.0,0,INSS,0.0126
1,204,0,0,3248.17,0.1294,0.0505,0.2564,0.1539,1,0.0,0.0,5,82,299.0,0,INSS,0.0229
0,0,0,0,2637.7,0.6488,0.0846,0.6418,0.4086,0,3036.26,0.0809,20,67,456.0,1,Informal,0.45
0,0,0,0,2341.75,0.1733,0.1909,0.3807,0.1536,0,1691.17,0.0348,34,25,29.0,0,Informal,0.4386
0,0,1,1,6474.93,0.2229,0.098,0.4205,0.1844,0,15888.76,0.0724,18,43,66.0,1,CLT,0.1566
0,0,1,92,5212.83,0.0583,0.0767,0.3799,0.0719,1,15403.51,0.1633,10,28,69.0,1,Servidor,0.0512
1,164,0,0,3946.44,0.1266,0.0,0.1017,0.0,0,4566.77,0.0329,0,85,317.0,0,INSS,0.0119
0,0,0,0,4176.99,0.204,0.3679,0.4997,0.2325,0,2827.06,0.0275,52,44,157.0,0,Informal,0.45
1,188,0,0,3088.27,0.1364,0.0,0.2576,0.0,0,2522.44,0.0498,0,61,110.0,0,INSS,0.0198
0,0,1,54,5092.02,0.2868,0.4899,0.6504,0.4774,2,9909.4,0.127,78,40,171.0,0,CLT,0.45
1,239,0,0,2405.04,0.0,0.0341,0.3158,0.1651,0,1093.72,0.0206,15,65,133.0,0,INSS,0.0235
1,239,0,0,3548.5,0.1102,0.1197,0.2624,0.1634,0,10138.18,0.2201,17,58,397.0,0,INSS,0.0305
0,0,1,67,3609.31,0.3066,0.0671,0.4755,0.1968,0,4725.33,0.0625,14,32,49.0,0,CLT,0.1603
1,105,0,0,2320.9,0.0049,0.0353,0.1551,0.0,1,3956.05,0.0725,6,70,293.0,0,INSS,0.0222
0,0,1,9,1500.0,0.1284,0.0984,0.3384,0.1273,0,5038.2,0.1775,13,45,288.0,0,CLT,0.1177
0,0,1,143,9505.52,0.0891,0.0,0.3671,0.1118,1,26187.56,0.3351,0,56,237.0,0,Servidor,0.0261
0,0,1,36,1500.0,0.2366,0.1899,0.4993,0.2375,0,1856.21,0.0695,30,35,123.0,0,CLT,0.2508
0,0,1,22,9391.87,0.0072,0.0381,0.2736,0.1422,0,16823.71,0.0608,4,52,118.0,0,Servidor,0.0212
1,172,0,0,2075.98,0.0769,0.0216,0.1949,0.0185,0,0.0,0.0,1,64,435.0,0,INSS,0.0128
1,162,0,0,1200.0,0.1707,0.1105,0.3597,0.0748,1,0.0,0.0,7,70,227.0,0,INSS,0.0416
1,137,0,0,2628.54,0.0,0.1101,0.3821,0.1375,0,4135.66,0.1246,15,76,480.0,0,INSS,0.0249
0,0,1,51,5151.85,0.2439,0.1814,0.4281,0.2315,0,8064.37,0.0586,28,25,41.0,0,CLT,0.2121
0,0,0,0,4303.06,0.2807,0.154,0.4758,0.1532,0,4647.57,0.0338,27,26,34.0,1,Informal,0.4278
0,0,0,0,3146.82,0.3122,0.4578,0.666,0.5814,2,9158.26,0.207,71,22,27.0,0,Informal,0.45
1,68,0,0,2614.78,0.113,0.057,0.3541,0.1527,0,6979.88,0.0894,8,79,480.0,0,INSS,0.0272
0,0,0,0,2413.19,0.3563,0.0,0.2244,0.2079,0,0.0,0.0,6,38,205.0,0,Informal,0.2334
1,99,0,0,1680.09,0.1563,0.0899,0.3822,0.1182,1,5063.92,0.2129,10,80,480.0,0,INSS,0.044
0,0,1,57,2276.87,0.1269,0.3356,0.494,0.4911,0,5971.54,0.1473,63,55,278.0,1,CLT,0.3908
0,0,0,0,3017.82,0.3523,0.1765,0.5742,0.2151,0,3322.64,0.1148,27,29,35.0,1,Informal,0.45
1,58,0,0,2566.47,0.0601,0.0619,0.2223,0.0571,1,4787.42,0.1481,3,66,221.0,0,INSS,0.0356
0,0,1,43,6912.83,0.029,0.005,0.1577,0.0,0,17150.69,0.1001,0,27,69.0,0,Servidor,0.0209
0,0,1,108,10039.84,0.081,0.0,0.1891,0.0138,0,4776.39,0.0405,0,55,159.0,0,Servidor,0.0099
0,0,1,57,4567.98,0.1043,0.0178,0.2326,0.056,0,10394.88,0.0991,2,59,259.0,0,Servidor,0.021
0,0,1,13,2425.07,0.1253,0.1096,0.2453,0.0674,1,8770.72,0.128,23,58,395.0,1,CLT,0.1189
1,208,0,0,2078.04,0.0829,0.0578,0.259,0.1665,0,3079.63,0.0453,8,64,402.0,0,INSS,0.0202
0,0,1,55,4597.4,0.0992,0.2724,0.6727,0.3001,1,18260.58,0.2794,38,55,157.0,0,CLT,0.3732
0,0,0,0,4287.74,0.3311,0.6047,0.6634,0.5564,0,5493.12,0.0617,89,45,186.0,1,Informal,0.45
1,138,0,0,2553.6,0.0435,0.0,0.3679,0.0628,0,2242.04,0.0526,5,85,480.0,0,INSS,0.0147
0,0,1,23,1500.0,0.1093,0.3238,0.4755,0.3503,2,1807.5,0.055,44,36,105.0,1,CLT,0.45
0,0,1,58,1500.0,0.0422,0.0755,0.5907,0.2157,0,5005.42,0.3685,11,36,190.0,1,CLT,0.1557
0,0,0,0,5382.68,0.1822,0.4025,0.4723,0.4724,1,11722.64,0.0526,62,21,25.0,0,CLT,0.45
0,0,0,0,5856.58,0.2341,0.1859,0.5139,0.2416,0,2668.01,0.0116,34,67,146.0,0,Informal,0.3699
0,0,0,0,4494.22,0.0,0.2124,0.355,0.2219,1,2463.21,0.0274,35,21,32.0,1,CLT,0.2854
1,260,0,0,1657.71,0.0402,0.0,0.1982,0.0339,0,4180.71,0.0862,0,63,390.0,0,INSS,0.0122
0,0,1,1,4104.87,0.1226,0.3533,0.5095,0.3058,2,4532.23,0.0592,56,41,238.0,0,CLT,0.4475
0,0,1,76,7938.75,0.065,0.0249,0.0,0.0,0,3544.01,0.0361,4,55,329.0,0,Servidor,0.0091
0,0,1,31,2334.74,0.1551,0.1248,0.2707,0.2499,1,1390.71,0.0209,22,36,175.0,0,CLT,0.1671
0,0,1,74,2522.65,0.0816,0.1785,0.4983,0.0505,0,2846.9,0.0598,18,47,72.0,0,CLT,0.1289
0,0,0,0,3257.17,0.6572,0.3585,0.6808,0.413,0,3079.98,0.0353,53,25,64.0,1,Informal,0.45
0,0,0,0,3650.07,0.4376,0.326,0.5839,0.4391,1,15973.02,0.2491,58,49,167.0,1,Informal,0.45
1,168,0,0,3219.03,0.0929,0.1345,0.2938,0.1977,1,3304.07,0.0746,21,67,480.0,0,INSS,0.0363
1,242,0,0,3460.37,0.1027,0.0091,0.3412,0.0,0,0.0,0.0,0,64,340.0,0,INSS,0.0125
0,0,0,0,1288.71,0.5033,0.0618,0.6077,0.1924,0,3277.67,0.2744,4,22,42.0,1,Informal,0.45
0,0,1,11,4633.95,0.2812,0.0,0.5481,0.1175,0,8659.32,0.1162,8,22,38.0,0,CLT,0.1509
0,0,1,245,4430.58,0.0635,0.0,0.1561,0.0725,0,7962.29,0.0858,0,32,51.0,0,Servidor,0.0151
1,206,0,0,1653.56,0.0189,0.021,0.1293,0.0432,0,4690.83,0.17,0,69,201.0,0,INSS,0.0172
0,0,1,33,5077.37,0.2614,0.2823,0.6583,0.3194,0,1708.06,0.0208,47,50,115.0,0,CLT,0.3231
1,184,0,0,2632.59,0.0499,0.1038,0.071,0.0,0,12727.99,0.1803,14,84,480.0,0,INSS,0.0178
1,131,0,0,1594.88,0.0842,0.0,0.1539,0.1354,0,2445.05,0.0425,5,82,193.0,0,INSS,0.0215
0,0,0,0,4108.03,0.2487,0.1647,0.4732,0.3352,0,16823.67,0.121,34,31,78.0,0,Informal,0.45
0,0,1,14,3010.16,0.0908,0.1275,0.382,0.1327,0,2147.88,0.0271,17,54,182.0,1,CLT,0.1065
0,0,0,0,3852.44,0.1396,0.1869,0.6119,0.2737,0,6185.0,0.0719,27,53,319.0,1,Informal,0.3676
0,0,1,32,6411.67,0.1084,0.3075,0.5563,0.2394,0,8882.16,0.0745,47,24,61.0,0,CLT,0.2899
1,181,0,0,1983.55,0.131,0.1176,0.3017,0.1608,1,2815.71,0.0329,10,77,480.0,0,INSS,0.0304
0,0,1,43,5862.98,0.2208,0.0624,0.2431,0.1502,1,8602.38,0.0613,18,30,129.0,1,CLT,0.1282
0,0,1,55,4726.3,0.2086,0.2169,0.6379,0.1505,0,2408.89,0.024,38,40,128.0,0,CLT,0.2158
1,111,0,0,1953.77,0.0804,0.0848,0.3072,0.1199,0,2835.8,0.127,6,82,480.0,0,INSS,0.0229
1,218,0,0,3039.07,0.0821,0.0891,0.1406,0.1194,0,6167.44,0.3185,16,61,419.0,0,INSS,0.0248
1,183,0,0,2314.75,0.1436,0.1373,0.4411,0.2531,0,6014.48,0.0801,21,72,480.0,1,INSS,0.0402
0,0,0,0,2763.98,0.4005,0.2485,0.5126,0.4391,1,0.0,0.0,31,60,423.0,0,Informal,0.45
0,0,0,0,3066.58,0.4257,0.2678,0.5101,0.2228,0,5694.54,0.0636,45,49,282.0,0,Informal,0.45
0,0,0,0,4656.57,0.2217,0.2484,0.4406,0.2613,0,1596.82,0.0345,32,46,216.0,0,CLT,0.2692
0,0,1,18,4586.64,0.211,0.0858,0.0808,0.1506,0,14908.9,0.1076,14,21,17.0,0,CLT,0.1329
0,0,1,33,3794.19,0.0062,0.4018,0.3492,0.1094,0,10966.5,0.1251,51,34,117.0,1,CLT,0.2759
0,0,1,54,1666.6,0.1357,0.1819,0.3486,0.2508,0,0.0,0.0,20,48,188.0,0,CLT,0.1383
1,144,0,0,2835.31,0.1309,0.0505,0.2791,0.0402,0,6033.59,0.1626,11,83,480.0,0,INSS,0.0209
0,0,0,0,5549.06,0.5179,0.7658,1.1582,0.9179,2,7152.12,0.0582,120,34,157.0,0,Informal,0.45
0,0,0,0,4462.1,0.4677,0.5196,0.9303,0.5721,0,6453.39,0.0874,80,36,73.0,0,Informal,0.45
0,0,0,0,6429.6,0.2381,0.1598,0.3598,0.2268,0,0.0,0.0,24,23,42.0,0,CLT,0.216
0,0,0,0,4419.15,0.251,0.1915,0.6658,0.3216,2,2435.23,0.0334,32,43,140.0,1,Informal,0.45
0,0,0,0,3981.2,0.05,0.4167,0.6382,0.4528,0,6611.85,0.1586,70,38,146.0,0,Informal,0.45
0,0,1,1,3269.05,0.1608,0.0889,0.2903,0.195,0,5293.7,0.0772,17,40,197.0,0,CLT,0.1221
0,0,1,7,1500.0,0.305,0.1945,0.6499,0.2903,1,5455.46,0.1871,34,29,92.0,0,CLT,0.45
0,0,1,26,1500.0,0.0604,0.0,0.3792,0.055,1,227.05,0.0116,6,49,93.0,0,CLT,0.0935
1,296,0,0,2363.28,0.1243,0.0809,0.3213,0.1845,1,6241.31,0.0913,12,80,349.0,0,INSS,0.0297
0,0,1,165,7579.56,0.0705,0.0578,0.1808,0.0928,0,16888.81,0.1072,13,37,93.0,0,Servidor,0.0224
1,117,0,0,3082.61,0.0,0.0,0.2105,0.0,0,4317.4,0.0589,0,62,202.0,0,INSS,0.0163
0,0,0,0,3102.69,0.4292,0.1935,0.6094,0.1883,0,0.0,0.0,35,60,229.0,1,Informal,0.45
1,157,0,0,2311.0,0.0746,0.0137,0.3987,0.1417,0,5372.59,0.0827,3,68,315.0,0,INSS,0.0238
0,0,1,1,4768.23,0.2278,0.0367,0.2833,0.1738,0,5084.23,0.0553,5,59,242.0,0,CLT,0.0789
1,173,0,0,1728.67,0.0892,0.0163,0.2012,0.0379,0,5373.96,0.1181,8,72,320.0,0,INSS,0.02
1,145,0,0,3516.34,0.1328,0.016,0.3112,0.0,0,4136.63,0.0434,0,75,480.0,0,INSS,0.014
1,126,0,0,3083.18,0.1927,0.0685,0.332,0.1295,0,5009.95,0.0557,7,78,467.0,0,INSS,0.0246
0,0,0,0,2502.95,0.3385,0.5045,0.7117,0.4462,1,0.0,0.0,78,34,159.0,1,Informal,0.45
0,0,1,24,1500.0,0.2309,0.1465,0.2947,0.0544,2,8619.69,0.2886,14,24,48.0,0,CLT,0.2957
0,0,1,110,8254.21,0.0775,0.0,0.396,0.1124,0,0.0,0.0,0,26,81.0,0,Servidor,0.0169
0,0,0,0,6031.51,0.1491,0.3453,0.6807,0.3801,1,16251.85,0.2109,52,26,38.0,0,Informal,0.45
0,0,1,75,7386.24,0.1415,0.2069,0.4723,0.1753,0,5557.89,0.0256,27,42,210.0,0,CLT,0.1156
0,0,1,100,9907.54,0.0631,0.0644,0.2154,0.1397,0,22971.19,0.1128,1,55,103.0,0,Servidor,0.0202
0,0,1,50,9349.39,0.0592,0.0,0.255,0.0939,0,15059.95,0.0466,0,43,219.0,0,Servidor,0.0155
0,0,1,56,5199.5,0.0765,0.3275,0.4417,0.2751,2,7363.95,0.2129,52,57,304.0,0,CLT,0.3353
1,220,0,0,2805.36,0.0882,0.0282,0.3774,0.075,0,1080.4,0.011,3,85,397.0,0,INSS,0.0145
0,0,1,6,6077.07,0.1078,0.2892,0.3608,0.2241,0,8347.44,0.0586,34,42,108.0,0,CLT,0.1991
0,0,0,0,5383.0,0.3671,0.2576,0.7405,0.2113,1,13498.41,0.3069,36,30,109.0,0,Informal,0.45
0,0,0,0,2646.8,0.2124,0.0686,0.0822,0.1642,0,3234.39,0.0631,11,22,31.0,1,CLT,0.1647
0,0,1,22,7091.1,0.1903,0.0,0.3212,0.1438,0,15913.09,0.0914,8,47,278.0,0,CLT,0.0701
1,164,0,0,3148.28,0.0,0.075,0.3162,0.1255,0,2766.48,0.1169,8,73,250.0,0,INSS,0.0228
0,0,0,0,4465.69,0.2694,0.2521,0.5122,0.318,2,2919.78,0.0216,35,34,45.0,1,CLT,0.45
0,0,1,20,4047.57,0.1685,0.0196,0.2838,0.2039,1,3738.64,0.0261,0,34,150.0,0,CLT,0.0993
0,0,1,24,8334.78,0.1017,0.0655,0.2713,0.1387,0,1610.83,0.0057,8,50,220.0,0,CLT,0.0483
0,0,1,59,4723.5,0.1643,0.0565,0.2401,0.1829,0,6202.29,0.0619,17,54,355.0,0,CLT,0.069
1,234,0,0,2941.69,0.1484,0.0963,0.1834,0.0,0,10154.37,0.0872,11,79,270.0,0,INSS,0.0222
1,181,0,0,2574.9,0.069,0.0184,0.24,0.0,1,5603.33,0.0868,0,75,174.0,0,INSS,0.0233
1,184,0,0,2965.08,0.066,0.0156,0.1664,0.0,1,1585.88,0.0239,2,67,200.0,0,INSS,0.0191
0,0,0,0,2215.03,0.2676,0.1957,0.6127,0.2946,1,4026.11,0.0663,31,39,193.0,1,Informal,0.45
1,342,0,0,1200.0,0.1528,0.1437,0.2943,0.393,0,0.0,0.0,20,59,193.0,0,INSS,0.0415
1,175,0,0,1851.03,0.0256,0.087,0.2985,0.1298,0,2118.88,0.0733,5,68,359.0,0,INSS,0.0213
1,166,0,0,2951.27,0.0031,0.0624,0.2835,0.0989,0,10894.14,0.1149,12,81,382.0,0,INSS,0.0211
0,0,1,42,3479.31,0.2439,0.4637,0.8402,0.654,0,3001.2,0.0375,75,37,147.0,0,CLT,0.45
0,0,0,0,7445.17,0.33,0.1055,0.3038,0.1753,1,9108.39,0.0523,24,43,222.0,0,CLT,0.2126
0,0,1,214,11335.22,0.0452,0.044,0.3098,0.141,0,23479.13,0.1562,5,43,149.0,0,Servidor,0.0154
1,182,0,0,3404.74,0.1652,0.0118,0.3281,0.066,0,1490.04,0.0255,0,83,425.0,0,INSS,0.0146
0,0,1,1,3798.88,0.2562,0.2957,0.6713,0.2896,2,3918.84,0.0398,41,39,127.0,1,CLT,0.45
1,158,0,0,2704.63,0.147,0.0,0.2772,0.0048,0,4163.52,0.0806,0,75,273.0,0,INSS,0.0185
0,0,0,0,2761.76,0.2049,0.1962,0.5297,0.303,1,4478.23,0.0601,28,30,103.0,1,CLT,0.4021
0,0,1,177,8907.72,0.0889,0.1146,0.4293,0.0888,0,18305.96,0.0799,16,27,26.0,0,Servidor,0.0333
1,171,0,0,2728.32,0.0826,0.1,0.4687,0.1876,0,4984.34,0.0423,13,70,470.0,0,INSS,0.0278
